x,y,z,bx,by,bz
-10.0,-10.0,-10.0,0.0,0.0,0.0
-10.0,-10.0,-9.310344827586206,30.737888037093022,-30.737888037093022,0.0
-10.0,-10.0,-8.620689655172413,13.6466979226411,-13.6466979226411,0.0
-10.0,-10.0,-7.931034482758621,9.666578508216599,-9.666578508216599,0.0
-10.0,-10.0,-7.241379310344827,7.140151218555086,-7.140151218555086,0.0
-10.0,-10.0,-6.551724137931034,5.6049835981153775,-5.6049835981153775,0.0
-10.0,-10.0,-5.862068965517241,4.609204582510474,-4.609204582510474,0.0
-10.0,-10.0,-5.172413793103448,3.9097036237555853,-3.9097036237555853,0.0
-10.0,-10.0,-4.482758620689655,3.3910316013287574,-3.3910316013287574,0.0
-10.0,-10.0,-3.7931034482758617,2.9911320074601244,-2.9911320074601244,0.0
-10.0,-10.0,-3.1034482758620685,2.6733037654743605,-2.6733037654743605,0.0
-10.0,-10.0,-2.4137931034482754,2.414486465094976,-2.414486465094976,0.0
-10.0,-10.0,-1.7241379310344822,2.1994867738027,-2.1994867738027,0.0
-10.0,-10.0,-1.034482758620689,2.0178954761140027,-2.0178954761140027,0.0
-10.0,-10.0,-0.3448275862068959,1.8623460962978038,-1.8623460962978038,0.0
-10.0,-10.0,0.34482758620689724,1.7274815354855453,-1.7274815354855453,0.0
-10.0,-10.0,1.0344827586206904,1.6093145560643318,-1.6093145560643318,0.0
-10.0,-10.0,1.7241379310344835,1.5048176550099197,-1.5048176550099197,0.0
-10.0,-10.0,2.4137931034482767,1.4116518558455788,-1.4116518558455788,0.0
-10.0,-10.0,3.10344827586207,1.3279825076449931,-1.3279825076449931,0.0
-10.0,-10.0,3.793103448275863,1.2523512022964687,-1.2523512022964687,0.0
-10.0,-10.0,4.482758620689657,1.1835848358312249,-1.1835848358312249,0.0
-10.0,-10.0,5.172413793103449,1.1207298259199991,-1.1207298259199991,0.0
-10.0,-10.0,5.862068965517242,1.0630037196813646,-1.0630037196813646,0.0
-10.0,-10.0,6.551724137931036,1.0097590471064706,-1.0097590471064706,0.0
-10.0,-10.0,7.241379310344829,0.9604559425358693,-0.9604559425358693,0.0
-10.0,-10.0,7.931034482758622,0.9146411403832403,-0.9146411403832403,0.0
-10.0,-10.0,8.620689655172415,0.8719316699285801,-0.8719316699285801,0.0
-10.0,-10.0,9.310344827586208,0.8320020591958798,-0.8320020591958798,0.0
-10.0,-10.0,10.0,0.7945741909567441,-0.7945741909567441,0.0
-10.0,-9.310344827586206,-10.0,-30.737888037093022,0.0,30.737888037093022
-10.0,-9.310344827586206,-9.310344827586206,0.0,-17.180035096391133,17.180035096391133
-10.0,-9.310344827586206,-8.620689655172413,9.75989606498456,-19.51979212996912,9.75989606498456
-10.0,-9.310344827586206,-7.931034482758621,8.920646326720238,-13.380969490080362,4.460323163360126
-10.0,-9.310344827586206,-7.241379310344827,6.880023647030857,-9.17336486270781,2.293341215676955
-10.0,-9.310344827586206,-6.551724137931034,5.55229516566302,-6.940368957078775,1.388073791415756
-10.0,-9.310344827586206,-5.862068965517241,4.630723470398316,-5.556868164477982,0.9261446940796639
-10.0,-9.310344827586206,-5.172413793103448,3.9544128413292654,-4.613481648217476,0.6590688068882115
-10.0,-9.310344827586206,-4.482758620689655,3.441516414357863,-3.9331616164089866,0.4916452020511236
-10.0,-9.310344827586206,-3.7931034482758617,3.040967652716628,-3.4210886093062065,0.3801209565895789
-10.0,-9.310344827586206,-3.1034482758620685,2.7201069020176263,-3.0223410022418085,0.302234100224181
-10.0,-9.310344827586206,-2.4137931034482754,2.457524612442496,-2.703277073686747,0.24575246124424982
-10.0,-9.310344827586206,-1.7241379310344822,2.238713323612439,-2.4422327166681157,0.20351939305567637
-10.0,-9.310344827586206,-1.034482758620689,2.0535373377687973,-2.22466544924953,0.17112811148073317
-10.0,-9.310344827586206,-0.3448275862068959,1.8947236094040374,-2.040471579358194,0.14574796995415681
-10.0,-9.310344827586206,0.34482758620689724,1.7569296490075421,-1.8824246239366522,0.12549497492911021
-10.0,-9.310344827586206,1.0344827586206904,1.6361495988502295,-1.7452262387735775,0.10907663992334868
-10.0,-9.310344827586206,1.7241379310344835,1.5293250142368864,-1.624907827626692,0.09558281338980541
-10.0,-9.310344827586206,2.4137931034482767,1.4340832142231121,-1.5184410503538834,0.08435783613077134
-10.0,-9.310344827586206,3.10344827586207,1.348557296499746,-1.423477146305288,0.0749198498055415
-10.0,-9.310344827586206,3.793103448275863,1.2712597294530879,-1.3381681362664086,0.06690840681332048
-10.0,-9.310344827586206,4.482758620689657,1.200991887432564,-1.2610414818041922,0.06004959437162823
-10.0,-9.310344827586206,5.172413793103449,1.1367781928455836,-1.1909104877429926,0.05413229489740878
